"Timestamp","Age","I have been using YouTube for...","Select the option that best describes your YouTube consumption","When I use YouTube, I use it on a...","From a user experience perspective, YouTube has gone in the right direction over the years.","Whenever I discover a new feature on YouTube, I am mostly pleased by it.","Sometimes the abundance of features makes it hard for me to find what I'm looking for.","I would prefer to use a YouTube Lite* with less features over the current version of YouTube.","In its current state, YouTube has too many features.","OPTIONAL: What features do you find useful?","OPTIONAL: What features do you find useless?","Dark/light theme","Location settings","Search with voice","Search predictions","Home feed with algorithm-based recommendations","Home feed filter","Infinite scrolling","Custom thumbnails","Video preview","Trending videos","Autoplay","Ambient mode","Automatically generated subtitles","Uploader submitted subtitles","Subtitle customization","Multiple audio tracks","Playback speed adjustment (with the preset values)","Playback speed adjustment (by providing a custom value, e.g. 1.45 instead of 1.5)","""Most replayed""","Video chapters","Clip","Keyboard shortcuts","Livestream: separation between ""Live chat"" and ""Top chat""","Watch queue","Automatically generated mixes","Are you logged in to your account when you use YouTube?","Subscription feed","Subscription feed view customization","Watch history","Liked videos","Playlists","Collaborative playlists","""Watch later""","YouTube Shorts","YouTube Premium","YouTube Music","YouTube Movies","I spend more time on YouTube than I should because of the video recommendation algorithm.","I often find myself endlessly scrolling the front page feed with no real purpose.","The video thumbnail affects my decision to watch a video.","The video preview feature affects my decision to watch a video.","I find myself skipping videos that have ads at the start or in the middle.","I engage in public discussion on YouTube in the form of video comments, livestream chat or such.","I observe the public discussion on YouTube in the form of video comments, livestream chat or such."
"2024/03/08 4:22:53 pm GMT+3","25-29","15 years or more","2+ hours/day","Computer;Smartphone","1","1","5","5","5","","","Essential","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Unnecessary","Nice to have","Unnecessary","Unnecessary","Essential","Essential","I haven't even heard of this","Essential","I haven't even heard of this","Essential","Essential","Unnecessary","Essential","I haven't even heard of this","I sometimes use this feature","I sometimes use this feature","Yes","I actively use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I actively use this feature","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","5","5","3","5","Never","Never","Sometimes"
"2024/03/08 4:26:36 pm GMT+3","30-39","15 years or more","1-2 hours/day","Smartphone;Smart TV","3","3","4","4","3","","","Essential","Nice to have","Unnecessary","Essential","Nice to have","Nice to have","Essential","Essential","Nice to have","Nice to have","Unnecessary","I haven't even heard of this","Unnecessary","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Unnecessary","Unnecessary","Nice to have","Unnecessary","I actively use this feature","I sometimes use this feature","Yes","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","3","2","4","4","Often","Never","Never"
"2024/03/08 4:27:32 pm GMT+3","25-29","10-14 years","0-1 hours/day","Computer;Smartphone","1","1","3","5","3","Getting notified for subscribed channels new videos","Searching by genre, most of the left sidebar, voice search","I haven't even heard of this","I haven't even heard of this","Unnecessary","Essential","Essential","Unnecessary","Unnecessary","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","Nice to have","Essential","Unnecessary","Nice to have","Unnecessary","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I never use this feature","I sometimes use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","4","3","5","3","Sometimes","Sometimes","Sometimes"
"2024/03/08 4:33:11 pm GMT+3","19-24","10-14 years","Few times/week","Computer;Smartphone;Smart TV","2","2","1","5","4","","YouTube Music, YouTube Premium","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Essential","I haven't even heard of this","Unnecessary","I haven't even heard of this","Nice to have","Nice to have","I haven't even heard of this","I haven't even heard of this","Essential","Unnecessary","Nice to have","Essential","Unnecessary","Nice to have","Unnecessary","I never use this feature","I never use this feature","Yes","I never use this feature","I never use this feature","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","4","5","4","5","Sometimes","Never","Often"
"2024/03/08 4:36:06 pm GMT+3","19-24","15 years or more","Less than once/week","Computer;Smartphone","4","2","4","4","2","","","I haven't even heard of this","Unnecessary","Unnecessary","Essential","Unnecessary","Unnecessary","Nice to have","Essential","Essential","Nice to have","Unnecessary","I haven't even heard of this","Essential","Essential","Nice to have","Nice to have","Essential","I haven't even heard of this","I haven't even heard of this","Nice to have","I haven't even heard of this","Essential","I haven't even heard of this","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","1","1","4","4","Never","Never","Often"
"2024/03/08 4:49:38 pm GMT+3","25-29","10-14 years","Few times/week","Computer;Smartphone","5","5","5","5","5","The Mongolian Turtles","The Anti-hetero refugees","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Essential","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","I actively use this feature","I actively use this feature","Yes","I actively use this feature","I actively use this feature","I actively use this feature","I actively use this feature","I actively use this feature","I never use this feature","I never use this feature","I actively use this feature","I never use this feature","I actively use this feature","I actively use this feature","5","5","5","5","Never","Often","Sometimes"
"2024/03/08 4:58:00 pm GMT+3","19-24","15 years or more","2+ hours/day","Computer;Smartphone","2","1","2","2","4","History, saving videos, looping, search","Trending tabs, shorts, stories","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Essential","I haven't even heard of this","I never use this feature","I sometimes use this feature","Yes","I actively use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","5","4","4","2","Sometimes","Sometimes","Sometimes"
"2024/03/08 5:29:25 pm GMT+3","30-39","15 years or more","0-1 hours/day","Computer;Smartphone","4","3","2","4","3","","","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Essential","Nice to have","I haven't even heard of this","Essential","I haven't even heard of this","Nice to have","Essential","Nice to have","Essential","Essential","I never use this feature","I never use this feature","Yes","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","4","1","4","2","Never","Never","Sometimes"
"2024/03/08 5:42:20 pm GMT+3","25-29","15 years or more","2+ hours/day","Computer;Smartphone;Smart TV","3","4","2","1","1","","","Essential","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Nice to have","I haven't even heard of this","Nice to have","Unnecessary","Nice to have","Nice to have","I haven't even heard of this","Essential","I haven't even heard of this","I sometimes use this feature","I sometimes use this feature","Yes","I actively use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","2","1","3","2","Sometimes","Sometimes","Sometimes"
"2024/03/08 5:42:25 pm GMT+3","25-29","10-14 years","Few times/week","Smart TV","2","3","4","5","5","","","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","Unnecessary","Unnecessary","Essential","Essential","Nice to have","Unnecessary","Unnecessary","I haven't even heard of this","Essential","I haven't even heard of this","I haven't even heard of this","Unnecessary","Unnecessary","Unnecessary","Nice to have","I haven't even heard of this","I haven't even heard of this","Nice to have","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","1","4","5","5","Sometimes","Never","Sometimes"
"2024/03/08 5:58:34 pm GMT+3","19-24","15 years or more","2+ hours/day","Computer","4","3","2","5","4","","","Nice to have","Nice to have","Unnecessary","Essential","Essential","Nice to have","Essential","Nice to have","Unnecessary","Nice to have","Unnecessary","Unnecessary","Essential","Essential","Essential","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","I sometimes use this feature","I never use this feature","Yes","I actively use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","4","1","4","1","Sometimes","Never","Sometimes"
"2024/03/08 6:04:17 pm GMT+3","25-29","15 years or more","1-2 hours/day","Smartphone;Smart TV","5","5","2","1","1","","","Essential","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Essential","Essential","Nice to have","Unnecessary","Unnecessary","Nice to have","Essential","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","I sometimes use this feature","I sometimes use this feature","Yes","I actively use this feature","I sometimes use this feature","I actively use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","1","1","4","4","Never","Sometimes","Sometimes"
"2024/03/08 6:13:15 pm GMT+3","25-29","15 years or more","0-1 hours/day","Computer;Smartphone","1","1","3","4","5","","","I haven't even heard of this","Unnecessary","Unnecessary","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Essential","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Unnecessary","I haven't even heard of this","Unnecessary","Unnecessary","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I never use this feature","I actively use this feature","No","","","","","","","","I never use this feature","I never use this feature","I never use this feature","I never use this feature","4","1","5","1","Often","Never","Never"
"2024/03/08 7:13:26 pm GMT+3","40-49","15 years or more","0-1 hours/day","Computer;Smartphone;Smart TV","3","2","4","5","4","","","I haven't even heard of this","I haven't even heard of this","Essential","Essential","Nice to have","I haven't even heard of this","Nice to have","Essential","Nice to have","Unnecessary","Unnecessary","I haven't even heard of this","Nice to have","Essential","I haven't even heard of this","Nice to have","Essential","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","I haven't even heard of this","Unnecessary","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","3","4","1","4","Sometimes","Never","Sometimes"
"2024/03/08 7:29:19 pm GMT+3","19-24","10-14 years","1-2 hours/day","Computer;Smartphone","2","2","3","4","3","Transcript","Clicking video makes it go x2 speed","Essential","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Unnecessary","Essential","Essential","Nice to have","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Unnecessary","Essential","Unnecessary","I never use this feature","I never use this feature","Yes","I never use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I actively use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","4","1","4","2","Never","Never","Sometimes"
"2024/03/08 7:48:41 pm GMT+3","19-24","10-14 years","2+ hours/day","Computer;Smartphone","2","3","3","5","2","Autoplay, smart downloads","Shorts","Essential","Essential","Nice to have","Essential","Essential","Nice to have","Unnecessary","Essential","Essential","Nice to have","Essential","Nice to have","Essential","Essential","Unnecessary","Nice to have","Essential","Unnecessary","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","I actively use this feature","I sometimes use this feature","Yes","I actively use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I sometimes use this feature","I sometimes use this feature","4","4","5","5","Sometimes","Never","Often"
"2024/03/08 8:03:27 pm GMT+3","19-24","6-9 years","1-2 hours/day","Computer","4","3","2","2","1","","","Essential","Essential","Unnecessary","Nice to have","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Nice to have","Nice to have","Essential","Nice to have","I haven't even heard of this","Nice to have","Unnecessary","Nice to have","Nice to have","Unnecessary","Nice to have","Unnecessary","I actively use this feature","I never use this feature","Yes","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","2","4","4","2","Never","Never","Sometimes"
"2024/03/08 8:21:36 pm GMT+3","25-29","15 years or more","2+ hours/day","Computer;Smartphone","4","2","4","4","3","Offline play (download), watch later (or lists overall), 2x speed while clicking the screen, subscriptions and Youtube Music as seperate entity","Autoplay, explore tab, posts, ambient mode (first that come to mind) and youtube recommending random videos over (or asking to recommend) over the content I normally consume","Essential","Unnecessary","Unnecessary","Unnecessary","Nice to have","Unnecessary","Nice to have","Nice to have","Nice to have","Unnecessary","Unnecessary","Unnecessary","Nice to have","Nice to have","Nice to have","Nice to have","Essential","Unnecessary","Nice to have","Unnecessary","Unnecessary","Unnecessary","Unnecessary","I never use this feature","I sometimes use this feature","Yes","I actively use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I actively use this feature","I never use this feature","1","2","2","3","Never","Never","Never"
"2024/03/08 11:46:29 pm GMT+3","25-29","15 years or more","0-1 hours/day","Smartphone;Smart TV;Playstation","2","2","3","4","4","Suositellut videot","Mainokset","Nice to have","Nice to have","Unnecessary","Essential","Nice to have","Nice to have","Essential","Essential","Essential","Nice to have","Nice to have","I haven't even heard of this","Essential","Essential","Nice to have","Nice to have","I haven't even heard of this","I haven't even heard of this","Essential","Essential","I haven't even heard of this","I haven't even heard of this","Nice to have","I actively use this feature","I sometimes use this feature","Yes","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I actively use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","1","1","4","4","Sometimes","Sometimes","Sometimes"
"2024/03/08 11:53:04 pm GMT+3","25-29","15 years or more","2+ hours/day","Computer;Smartphone;Gaming console. ps5, ps4 etc.","1","3","3","5","2","","Ads","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","Nice to have","I sometimes use this feature","I never use this feature","Yes","I sometimes use this feature","I sometimes use this feature","I actively use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","2","4","2","3","Often","Sometimes","Sometimes"
"2024/03/09 10:39:48 am GMT+3","25-29","10-14 years","1-2 hours/day","Computer","3","2","4","2","3","","","Essential","I haven't even heard of this","Nice to have","Nice to have","Nice to have","Unnecessary","Nice to have","Essential","Nice to have","Nice to have","Unnecessary","I haven't even heard of this","Unnecessary","Essential","Nice to have","Nice to have","Essential","I haven't even heard of this","Nice to have","Essential","Unnecessary","Nice to have","I haven't even heard of this","I never use this feature","I never use this feature","Yes","I sometimes use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","I never use this feature","I sometimes use this feature","I never use this feature","I never use this feature","I never use this feature","5","5","5","2","Sometimes","Never","Sometimes"
